날짜,코스피종가,날짜,코스닥종가,날짜,나스닥종가,날짜,환율종가,날짜,항셍종가
20210805,"3,276.13",20210805,"1,059.54",20210805,"14,895.10",20210805,"1,142.59",20210805,"26,204.69"
20210804,"3,280.38",20210804,"1,047.93",20210804,"14,780.50",20210804,"1,144.76",20210804,"26,426.55"
20210803,"3,237.14",20210803,"1,036.11",20210803,"14,761.30",20210803,"1,148.44",20210803,"26,194.82"
20210802,"3,223.04",20210802,"1,037.80",20210802,"14,681.10",20210802,"1,150.18",20210802,"26,235.80"
20210730,"3,202.32",20210730,"1,031.14",20210730,"14,672.70",20210730,"1,151.41",20210730,"25,961.03"
20210729,"3,242.65",20210729,"1,044.13",20210729,"14,778.30",20210729,"1,143.12",20210729,"26,315.32"
20210728,"3,236.86",20210728,"1,035.68",20210728,"14,762.60",20210728,"1,150.27",20210728,"25,473.88"
20210727,"3,232.53",20210727,"1,046.55",20210727,"14,660.60",20210727,"1,154.25",20210727,"25,086.43"
20210726,"3,224.95",20210726,"1,047.63",20210726,"14,840.70",20210726,"1,152.54",20210726,"26,192.32"
20210723,"3,254.42",20210723,"1,055.50",20210723,"14,837.00",20210723,"1,151.52",20210723,"27,321.98"
20210722,"3,250.21",20210722,"1,050.25",20210722,"14,684.60",20210722,"1,150.55",20210722,"27,723.84"
20210721,"3,215.91",20210721,"1,042.03",20210721,"14,632.00",20210721,"1,149.31",20210721,"27,224.58"
20210720,"3,232.70",20210720,"1,043.64",20210720,"14,498.90",20210720,"1,147.47",20210720,"27,259.25"
20210719,"3,244.04",20210719,"1,049.83",20210719,"14,275.00",20210719,"1,150.83",20210719,"27,489.78"
20210716,"3,276.91",20210716,"1,051.98",20210716,"14,427.20",20210716,"1,141.51",20210716,"28,004.68"
20210715,"3,286.22",20210715,"1,054.31",20210715,"14,543.10",20210715,"1,141.59",20210715,"27,996.27"
20210714,"3,264.81",20210714,"1,044.98",20210714,"14,645.00",20210714,"1,144.22",20210714,"27,787.46"
20210713,"3,271.38",20210713,"1,043.31",20210713,"14,677.70",20210713,"1,149.94",20210713,"27,963.41"
20210712,"3,246.47",20210712,"1,034.64",20210712,"14,733.20",20210712,"1,146.85",20210712,"27,515.24"
20210709,"3,217.95",20210709,"1,028.93",20210709,"14,701.90",20210709,"1,143.73",20210709,"27,344.54"
20210708,"3,252.68",20210708,"1,034.48",20210708,"14,559.80",20210708,"1,146.59",20210708,"27,153.13"
20210707,"3,285.34",20210707,"1,047.36",20210707,"14,665.10",20210707,"1,141.50",20210707,"27,960.62"
20210706,"3,305.21",20210706,"1,044.96",20210706,"14,663.60",20210706,"1,136.75",20210706,"28,072.86"
20210705,"3,293.21",20210705,"1,047.33",20210702,"14,639.30",20210705,"1,130.42",20210705,"28,143.50"
20210702,"3,281.78",20210702,"1,038.18",20210701,"14,522.40",20210702,"1,130.53",20210702,"28,310.42"
20210701,"3,282.06",20210701,"1,035.64",20210630,"14,504.00",20210701,"1,134.33",20210630,"28,827.95"
20210630,"3,296.68",20210630,"1,029.96",20210629,"14,528.30",20210630,"1,130.48",20210629,"28,994.10"
20210629,"3,286.68",20210629,"1,022.52",20210628,"14,500.50",20210629,"1,131.62",20210628,"29,268.30"
20210628,"3,301.89",20210628,"1,017.91",20210625,"14,360.40",20210628,"1,130.04",20210625,"29,288.22"
20210625,"3,302.84",20210625,"1,012.13",20210624,"14,369.70",20210625,"1,127.12",20210624,"28,882.46"
20210624,"3,286.10",20210624,"1,012.62",20210623,"14,271.70",20210624,"1,130.78",20210623,"28,817.07"
20210623,"3,276.19",20210623,"1,016.46",20210622,"14,253.30",20210623,"1,135.85",20210622,"28,309.76"
20210622,"3,263.88",20210622,"1,011.56",20210621,"14,141.50",20210622,"1,133.57",20210621,"28,489.00"
20210621,"3,240.79",20210621,"1,010.99",20210618,"14,030.40",20210621,"1,131.40",20210618,"28,801.27"
20210618,"3,267.93",20210618,"1,015.88",20210617,"14,161.30",20210618,"1,134.94",20210617,"28,558.59"
20210617,"3,264.96",20210617,"1,003.72",20210616,"14,039.70",20210617,"1,134.30",20210616,"28,436.84"
20210616,"3,278.68",20210616,998.49,20210615,"14,072.90",20210616,"1,132.68",20210615,"28,638.53"
20210615,"3,258.63",20210615,997.37,20210614,"14,174.10",20210615,"1,117.09",20210611,"28,842.13"
20210614,"3,252.13",20210614,997.41,20210611,"14,069.40",20210614,"1,116.33",20210610,"28,738.88"
20210611,"3,249.32",20210611,991.13,20210610,"14,020.30",20210611,"1,116.40",20210609,"28,742.63"
20210610,"3,224.64",20210610,987.77,20210609,"13,911.80",20210610,"1,112.32",20210608,"28,781.38"
20210609,"3,216.18",20210609,978.79,20210608,"13,924.90",20210609,"1,115.61",20210607,"28,787.28"
20210608,"3,247.83",20210608,986.12,20210607,"13,881.70",20210608,"1,117.72",20210604,"28,918.10"
20210607,"3,252.12",20210607,985.86,20210604,"13,814.50",20210607,"1,110.62",20210603,"28,966.03"
20210604,"3,240.08",20210604,987.58,20210603,"13,614.50",20210604,"1,110.52",20210602,"29,297.62"
20210603,"3,247.43",20210603,990.19,20210602,"13,756.30",20210603,"1,116.46",20210601,"29,468.00"
20210602,"3,224.23",20210602,981.1,20210601,"13,736.50",20210602,"1,110.92",20210531,"29,151.80"
